"","Proportion","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"90",21.6,19.7,23.5,"2008","Male","Sex"
"91",21.98,19.69,24.28,"2016","Male","Sex"
"92",22.49,20.26,24.72,"2010","Overweight","BMI"
"93",22.74,20.24,25.23,"2006","Overweight","BMI"
"94",23.01,21.44,24.59,"2012","US Population","Overall"
"95",23.13,18.75,27.51,"2010","45 to 49","Age"
"96",23.39,21.49,25.3,"2002","Female","Sex"
"97",23.62,21.18,26.06,"2004","Overweight","BMI"
"98",23.8,21.64,25.96,"2000","Female","Sex"
"99",23.83,21.5,26.17,"2008","Overweight","BMI"
"100",23.93,19.31,28.55,"2002","50 to 54","Age"
"101",24.09,22.79,25.39,"2010","US Population","Overall"
"102",24.13,19.5,28.77,"2008","45 to 49","Age"
"103",24.29,22.83,25.75,"2004","US Population","Overall"
"104",24.37,21.71,27.03,"2018","Male","Sex"
"105",24.5,21.97,27.04,"2014","Overweight","BMI"
"106",24.57,23.1,26.04,"2006","US Population","Overall"
"107",25.09,22.17,28.01,"2016","Overweight","BMI"
"108",25.68,24.29,27.07,"2008","US Population","Overall"
"109",26.17,23.45,28.89,"2002","Obese","BMI"
"110",26.3,20.41,32.19,"2012","50 to 54","Age"
"111",26.67,25.19,28.14,"2014","US Population","Overall"
"112",26.83,14.31,39.34,"2014","Underweight","BMI"
"113",26.91,21.69,32.12,"2006","50 to 54","Age"
"114",26.93,24.64,29.21,"2012","Female","Sex"
"115",26.96,25.29,28.63,"2016","US Population","Overall"
"116",27.1,23.76,30.43,"2018","Overweight","BMI"
"117",27.6,25.72,29.49,"2010","Female","Sex"
"118",27.85,26.03,29.68,"2018","US Population","Overall"
"119",27.88,24.88,30.89,"2000","Obese","BMI"
"120",28.02,25.91,30.12,"2004","Female","Sex"
"121",28.6,26.42,30.77,"2006","Female","Sex"
"122",29.12,26.26,31.98,"2012","Obese","BMI"
"123",29.41,23.27,35.54,"2016","50 to 54","Age"
"124",29.47,27.44,31.49,"2008","Female","Sex"
"125",30.24,25.11,35.36,"2008","50 to 54","Age"
"126",30.26,25.14,35.38,"2010","50 to 54","Age"
"127",30.72,27.88,33.57,"2004","Obese","BMI"
"128",30.76,23.8,37.72,"2000","55 to 59","Age"
"129",30.92,24.88,36.95,"2000","50 to 54","Age"
"130",31.04,28.52,33.55,"2018","Female","Sex"
"131",31.21,28.85,33.56,"2010","Obese","BMI"
"132",31.53,29.14,33.92,"2016","Female","Sex"
"133",32,29.9,34.1,"2014","Female","Sex"
"134",32.36,29.56,35.16,"2006","Obese","BMI"
"135",33.15,27.35,38.95,"2010","55 to 59","Age"
"136",33.36,30.77,35.95,"2008","Obese","BMI"
"137",33.69,27.95,39.42,"2014","50 to 54","Age"
"138",33.92,27.26,40.59,"2012","60 to 64","Age"
"139",34.03,31.06,37,"2018","Obese","BMI"
"140",34.13,28.48,39.78,"2004","50 to 54","Age"
"141",34.32,31.49,37.15,"2016","Obese","BMI"
"142",35.13,28.9,41.36,"2008","55 to 59","Age"
"143",35.39,29.44,41.34,"2014","55 to 59","Age"
"144",35.54,32.92,38.15,"2014","Obese","BMI"
"145",36.54,29.57,43.51,"2018","55 to 59","Age"
"146",37.14,30.79,43.49,"2002","55 to 59","Age"
"147",37.18,30.05,44.31,"2012","55 to 59","Age"
"148",37.7,30.64,44.75,"2004","55 to 59","Age"
"149",37.87,29.83,45.91,"2018","50 to 54","Age"
"150",40.88,34.26,47.5,"2016","55 to 59","Age"
"151",41.21,34.28,48.13,"2006","55 to 59","Age"
"152",42.11,35.86,48.35,"2004","60 to 64","Age"
"153",42.17,36.62,47.71,"2010","60 to 64","Age"
"154",43.65,37.26,50.04,"2000","60 to 64","Age"
"155",44.11,36.99,51.23,"2018","60 to 64","Age"
"156",45.19,36.65,53.73,"2012","65 to 69","Age"
"157",45.69,39.48,51.9,"2002","60 to 64","Age"
"158",46.12,39.25,52.99,"2002","65 to 69","Age"
"159",46.55,39.95,53.15,"2006","60 to 64","Age"
"160",47.11,40.29,53.93,"2000","65 to 69","Age"
"161",49.19,43.62,54.76,"2008","60 to 64","Age"
"162",49.63,43.29,55.97,"2010","65 to 69","Age"
"163",50.21,42.82,57.6,"2016","60 to 64","Age"
"164",50.4,46.64,54.16,"2002","70 and above","Age"
"165",50.61,44.03,57.19,"2004","65 to 69","Age"
"166",51.49,45.38,57.59,"2014","60 to 64","Age"
"167",53.07,44.59,61.56,"2018","65 to 69","Age"
"168",53.45,49.21,57.7,"2000","70 and above","Age"
"169",53.95,47.04,60.86,"2014","65 to 69","Age"
"170",54.55,50.91,58.18,"2004","70 and above","Age"
"171",54.6,46.82,62.39,"2016","65 to 69","Age"
"172",54.69,50.83,58.56,"2006","70 and above","Age"
"173",55.01,47.92,62.1,"2006","65 to 69","Age"
"174",55.16,51.83,58.49,"2008","70 and above","Age"
"175",55.59,51.41,59.76,"2012","70 and above","Age"
"176",55.63,51.71,59.55,"2014","70 and above","Age"
"177",55.78,51.56,60,"2016","70 and above","Age"
"178",56.31,53,59.62,"2010","70 and above","Age"
"179",56.43,49.94,62.92,"2008","65 to 69","Age"
"180",60.56,56.4,64.71,"2018","70 and above","Age"
