"","Proportion","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"85",25.05,22.96,27.14,"2006","40 to 44","Age"
"86",25.19,24.18,26.2,"2007","Male","Sex"
"87",25.27,24.25,26.29,"2013","Healthy weight","BMI"
"88",25.88,24.96,26.81,"2003","Healthy weight","BMI"
"89",25.91,20.57,31.25,"2018","Underweight","BMI"
"90",26.02,25.04,27,"2011","Healthy weight","BMI"
"91",26.16,25.05,27.26,"2015","Healthy weight","BMI"
"92",26.32,25.24,27.41,"2010","Healthy weight","BMI"
"93",26.57,21.43,31.71,"2014","Underweight","BMI"
"94",26.58,24.56,28.61,"2013","40 to 44","Age"
"95",26.6,25.47,27.73,"2016","Healthy weight","BMI"
"96",26.69,25.53,27.86,"2009","Healthy weight","BMI"
"97",26.76,25.59,27.94,"2018","Healthy weight","BMI"
"98",27.19,24.77,29.6,"2016","40 to 44","Age"
"99",27.22,26.05,28.39,"2017","Healthy weight","BMI"
"100",27.43,26.22,28.65,"2007","Overweight","BMI"
"101",27.49,25.38,29.59,"2014","40 to 44","Age"
"102",27.63,26.94,28.31,"2007","US Population","Overall"
"103",27.66,23.1,32.23,"2013","Underweight","BMI"
"104",27.7,25.9,29.5,"2002","40 to 44","Age"
"105",27.73,26.86,28.59,"2002","Male","Sex"
"106",27.74,25.48,29.99,"2015","40 to 44","Age"
"107",27.79,26.78,28.8,"2006","Male","Sex"
"108",27.98,25.59,30.36,"2018","40 to 44","Age"
"109",27.98,26.17,29.79,"2005","40 to 44","Age"
"110",28.41,27.5,29.31,"2012","Male","Sex"
"111",28.46,26.14,30.78,"2009","40 to 44","Age"
"112",28.61,26.81,30.41,"2003","40 to 44","Age"
"113",28.78,27.91,29.65,"2005","Male","Sex"
"114",28.82,27.95,29.7,"2003","Male","Sex"
"115",28.9,26.7,31.11,"2010","40 to 44","Age"
"116",28.92,26.44,31.41,"2008","40 to 44","Age"
"117",28.99,27.8,30.18,"2006","Overweight","BMI"
"118",29.04,27.95,30.13,"2008","Male","Sex"
"119",29.3,24.76,33.84,"2011","Underweight","BMI"
"120",29.48,27.47,31.5,"2011","40 to 44","Age"
"121",29.48,28.56,30.41,"2013","Male","Sex"
"122",29.52,28.46,30.58,"2012","Overweight","BMI"
"123",29.53,28.95,30.11,"2002","US Population","Overall"
"124",29.64,28.62,30.65,"2002","Overweight","BMI"
"125",29.73,29.04,30.41,"2006","US Population","Overall"
"126",29.9,23.47,36.32,"2009","Underweight","BMI"
"127",29.9,28.96,30.85,"2007","Female","Sex"
"128",29.91,27.42,32.41,"2017","40 to 44","Age"
"129",30.43,29.81,31.04,"2012","US Population","Overall"
"130",30.57,28.39,32.75,"2013","45 to 49","Age"
"131",30.92,29.93,31.91,"2014","Male","Sex"
"132",30.96,29.67,32.24,"2008","Overweight","BMI"
"133",31.12,30.53,31.71,"2005","US Population","Overall"
"134",31.19,30.4,31.98,"2002","Female","Sex"
"135",31.21,30.15,32.26,"2009","Male","Sex"
"136",31.23,30.23,32.24,"2017","Male","Sex"
"137",31.25,28.87,33.63,"2007","45 to 49","Age"
"138",31.29,30.56,32.03,"2008","US Population","Overall"
"139",31.36,30.36,32.36,"2010","Male","Sex"
"140",31.41,29.48,33.34,"2002","45 to 49","Age"
"141",31.42,30.45,32.4,"2016","Male","Sex"
"142",31.53,30.59,32.48,"2006","Female","Sex"
"143",31.75,31.16,32.35,"2003","US Population","Overall"
"144",31.85,30.95,32.75,"2011","Male","Sex"
"145",31.88,29.72,34.05,"2012","45 to 49","Age"
"146",31.93,29.52,34.35,"2008","45 to 49","Age"
"147",32.08,31.05,33.12,"2003","Overweight","BMI"
"148",32.08,31.07,33.08,"2015","Male","Sex"
"149",32.12,29.82,34.42,"2006","45 to 49","Age"
"150",32.15,31.52,32.79,"2013","US Population","Overall"
"151",32.29,31.26,33.31,"2005","Overweight","BMI"
"152",32.3,31.45,33.15,"2012","Female","Sex"
"153",32.31,31.16,33.47,"2010","Overweight","BMI"
"154",32.57,31.39,33.74,"2014","Overweight","BMI"
"155",32.59,31.37,33.81,"2009","Overweight","BMI"
"156",32.64,31.47,33.82,"2018","Overweight","BMI"
"157",32.67,31.57,33.78,"2013","Overweight","BMI"
"158",32.7,31.56,33.83,"2016","Overweight","BMI"
"159",32.78,32.11,33.45,"2014","US Population","Overall"
"160",33.03,32.32,33.74,"2009","US Population","Overall"
"161",33.26,30.7,35.81,"2018","45 to 49","Age"
"162",33.28,32.23,34.33,"2011","Overweight","BMI"
"163",33.29,32.62,33.96,"2010","US Population","Overall"
"164",33.3,32.49,34.1,"2005","Female","Sex"
"165",33.32,32.11,34.52,"2017","Overweight","BMI"
"166",33.4,32.4,34.4,"2008","Female","Sex"
"167",33.43,32.4,34.47,"2018","Male","Sex"
"168",33.5,31.09,35.91,"2015","45 to 49","Age"
"169",33.62,33,34.23,"2011","US Population","Overall"
"170",33.68,31.28,36.07,"2009","45 to 49","Age"
"171",33.74,31.79,35.69,"2005","45 to 49","Age"
"172",33.77,31.38,36.16,"2016","45 to 49","Age"
"173",33.79,33.12,34.47,"2016","US Population","Overall"
"174",33.83,33.15,34.51,"2015","US Population","Overall"
"175",34.06,31.73,36.4,"2014","45 to 49","Age"
"176",34.08,32.89,35.27,"2015","Overweight","BMI"
"177",34.13,32.11,36.15,"2003","45 to 49","Age"
"178",34.28,33.59,34.98,"2017","US Population","Overall"
"179",34.3,33.59,35,"2018","US Population","Overall"
"180",34.45,31.88,37.02,"2017","45 to 49","Age"
"181",34.45,33.64,35.27,"2003","Female","Sex"
"182",34.51,33.61,35.42,"2014","Female","Sex"
"183",34.63,33.76,35.51,"2013","Female","Sex"
"184",34.73,33.76,35.71,"2009","Female","Sex"
"185",35.1,34.18,36.01,"2010","Female","Sex"
"186",35.11,34.15,36.07,"2018","Female","Sex"
"187",35.27,34.44,36.11,"2011","Female","Sex"
"188",35.33,32.83,37.84,"2007","50 to 54","Age"
"189",35.46,34.53,36.38,"2015","Female","Sex"
"190",35.79,33.46,38.13,"2010","45 to 49","Age"
"191",36,35.08,36.93,"2016","Female","Sex"
"192",36.24,34.13,38.36,"2011","45 to 49","Age"
"193",36.86,35.38,38.34,"2007","Obese","BMI"
"194",37.13,36.16,38.1,"2017","Female","Sex"
"195",37.4,35.2,39.61,"2012","50 to 54","Age"
"196",37.58,35.42,39.75,"2002","50 to 54","Age"
"197",37.77,35.28,40.27,"2006","50 to 54","Age"
"198",38.11,36.05,40.17,"2005","50 to 54","Age"
"199",38.84,36.7,40.98,"2003","50 to 54","Age"
"200",39.39,36.62,42.16,"2007","55 to 59","Age"
"201",39.42,37.14,41.71,"2013","50 to 54","Age"
"202",39.44,36.88,42,"2014","50 to 54","Age"
"203",39.59,38.33,40.85,"2012","Obese","BMI"
"204",40.09,37.04,43.14,"2007","65 to 69","Age"
"205",40.09,37.69,42.48,"2015","50 to 54","Age"
"206",40.28,37.68,42.88,"2018","50 to 54","Age"
"207",40.29,37.61,42.96,"2008","55 to 59","Age"
"208",40.55,39.26,41.84,"2013","Obese","BMI"
"209",40.62,38,43.24,"2008","50 to 54","Age"
"210",40.62,38.02,43.22,"2006","55 to 59","Age"
"211",40.98,39.46,42.51,"2008","Obese","BMI"
"212",41.02,39.51,42.53,"2006","Obese","BMI"
"213",41.05,39.71,42.39,"2002","Obese","BMI"
"214",41.06,38.72,43.39,"2002","55 to 59","Age"
"215",41.51,38.97,44.05,"2009","50 to 54","Age"
"216",41.56,40.27,42.85,"2005","Obese","BMI"
"217",41.68,39.46,43.89,"2011","50 to 54","Age"
"218",41.7,39.44,43.96,"2014","55 to 59","Age"
"219",41.83,39.42,44.24,"2016","50 to 54","Age"
"220",41.99,40.54,43.44,"2009","Obese","BMI"
"221",42.03,39.41,44.66,"2017","50 to 54","Age"
"222",42.04,39.21,44.88,"2007","60 to 64","Age"
"223",42.12,40.8,43.43,"2014","Obese","BMI"
"224",42.74,41.4,44.09,"2003","Obese","BMI"
"225",42.87,40.49,45.26,"2010","50 to 54","Age"
"226",42.95,40.67,45.22,"2012","55 to 59","Age"
"227",43.12,41.75,44.49,"2010","Obese","BMI"
"228",43.13,41.8,44.46,"2015","Obese","BMI"
"229",43.44,42.1,44.79,"2017","Obese","BMI"
"230",43.6,42.37,44.83,"2011","Obese","BMI"
"231",43.72,41.49,45.94,"2005","55 to 59","Age"
"232",43.74,40.91,46.58,"2002","65 to 69","Age"
"233",43.88,41.24,46.52,"2002","60 to 64","Age"
"234",43.96,42.63,45.29,"2016","Obese","BMI"
"235",44.33,42.96,45.7,"2018","Obese","BMI"
"236",44.89,42.4,47.38,"2018","55 to 59","Age"
"237",44.94,42.66,47.22,"2011","55 to 59","Age"
"238",45.3,42.15,48.45,"2006","65 to 69","Age"
"239",45.32,42.73,47.91,"2009","55 to 59","Age"
"240",45.46,42.91,48.02,"2017","55 to 59","Age"
"241",45.52,43.14,47.91,"2016","55 to 59","Age"
"242",45.61,43.6,47.62,"2007","70 and above","Age"
"243",45.69,43.36,48.03,"2003","55 to 59","Age"
"244",45.72,43.41,48.03,"2013","55 to 59","Age"
"245",45.82,43.33,48.32,"2010","60 to 64","Age"
"246",45.87,44.12,47.62,"2012","70 and above","Age"
"247",46.01,43.53,48.48,"2015","55 to 59","Age"
"248",46.08,43.46,48.7,"2003","60 to 64","Age"
"249",46.18,43.6,48.77,"2012","65 to 69","Age"
"250",46.64,43.61,49.67,"2006","60 to 64","Age"
"251",46.89,43.98,49.79,"2008","60 to 64","Age"
"252",46.94,44.62,49.25,"2012","60 to 64","Age"
"253",47.02,44.49,49.55,"2015","60 to 64","Age"
"254",47.22,45.16,49.29,"2008","70 and above","Age"
"255",47.25,44.42,50.07,"2003","65 to 69","Age"
"256",47.52,44.76,50.27,"2005","65 to 69","Age"
"257",47.56,45.11,50,"2014","60 to 64","Age"
"258",47.87,44.73,51.01,"2008","65 to 69","Age"
"259",48.02,45.6,50.45,"2013","60 to 64","Age"
"260",48.18,45.67,50.69,"2005","60 to 64","Age"
"261",48.39,45.39,51.4,"2009","65 to 69","Age"
"262",48.42,45.99,50.85,"2018","60 to 64","Age"
"263",48.51,46.81,50.21,"2002","70 and above","Age"
"264",48.54,46.04,51.05,"2013","65 to 69","Age"
"265",48.6,46.09,51.11,"2014","65 to 69","Age"
"266",48.64,46.2,51.08,"2017","60 to 64","Age"
"267",48.69,46.23,51.14,"2017","65 to 69","Age"
"268",48.71,46.2,51.22,"2010","55 to 59","Age"
"269",48.96,46.63,51.28,"2016","65 to 69","Age"
"270",49.16,46.64,51.69,"2011","65 to 69","Age"
"271",49.42,47.35,51.48,"2006","70 and above","Age"
"272",49.47,46.8,52.14,"2009","60 to 64","Age"
"273",49.48,47.6,51.36,"2010","70 and above","Age"
"274",49.57,47.29,51.85,"2011","60 to 64","Age"
"275",49.96,47.08,52.84,"2010","65 to 69","Age"
"276",50.76,49.03,52.5,"2014","70 and above","Age"
"277",51.14,48.77,53.51,"2018","65 to 69","Age"
"278",51.53,49.54,53.51,"2009","70 and above","Age"
"279",51.59,49.93,53.25,"2016","70 and above","Age"
"280",51.66,49.26,54.07,"2016","60 to 64","Age"
"281",51.66,49.9,53.41,"2013","70 and above","Age"
"282",51.92,49.35,54.5,"2015","65 to 69","Age"
"283",52.13,50.4,53.85,"2003","70 and above","Age"
"284",52.18,50.51,53.85,"2005","70 and above","Age"
"285",52.58,50.82,54.35,"2015","70 and above","Age"
"286",53.49,51.81,55.16,"2011","70 and above","Age"
"287",54.12,52.45,55.79,"2017","70 and above","Age"
"288",55.32,53.69,56.96,"2018","70 and above","Age"
